"","DGUID","ALT_GEO_CODE","GEO_LEVEL","DATA_QUALITY_FLAG","CHARACTERISTIC_ID","Language","C1_COUNT_TOTAL","C10_RATE_TOTAL","Languages"
"708","2021S051235300646",35300646,"Dissemination area",0,878,"Tie (Hover to See Languages)",10,1.8,"Malayalam//Portuguese//Spanish"
"709","2021S051235300654",35300654,"Dissemination area",0,897,"Tie (Hover to See Languages)",10,1.1,"Polish//Portuguese"
"710","2021S051235300657",35300657,"Dissemination area",0,969,"Tie (Hover to See Languages)",5,1,"Portuguese//Spanish"
"711","2021S051235300665",35300665,"Dissemination area",0,968,"Tie (Hover to See Languages)",5,1.2,"Italian//Portuguese"
"712","2021S051235300684",35300684,"Dissemination area",1010,878,"Tie (Hover to See Languages)",10,1.1,"Malayalam//Gujarati"
"713","2021S051235300689",35300689,"Dissemination area",0,959,"Tie (Hover to See Languages)",5,0.9,"Pashto//Portuguese//Yue (Cantonese)"
"714","2021S051235300706",35300706,"Dissemination area",0,835,"Tie (Hover to See Languages)",15,1.1,"Arabic//Tagalog (Pilipino, Filipino)//Ukrainian//Urdu//Portuguese//Spanish"
"715","2021S051235300707",35300707,"Dissemination area",0,907,"Tie (Hover to See Languages)",60,5.6,"Ukrainian//Portuguese"
"716","2021S051235300709",35300709,"Dissemination area",0,897,"Tie (Hover to See Languages)",10,1.4,"Polish//Punjabi (Panjabi)//Spanish"
"717","2021S051235300711",35300711,"Dissemination area",0,940,"Tie (Hover to See Languages)",5,1,"Hindi//Iranian Persian//Turkish"
"718","2021S051235300716",35300716,"Dissemination area",0,900,"Tie (Hover to See Languages)",45,2.7,"Serbo-Croatian//Romanian"
"719","2021S051235300719",35300719,"Dissemination area",2020,949,"Tie (Hover to See Languages)",60,6.3,"Punjabi (Panjabi)//Mandarin"
"720","2021S051235300729",35300729,"Dissemination area",0,897,"Tie (Hover to See Languages)",5,0.5,"Polish//Serbo-Croatian//Serbian//Iranian Persian//Portuguese//Spanish"
"721","2021S051235300734",35300734,"Dissemination area",0,897,"Tie (Hover to See Languages)",15,2.2,"Polish//Punjabi (Panjabi)"
"722","2021S051235300747",35300747,"Dissemination area",0,970,"Tie (Hover to See Languages)",10,1.5,"Romanian//Mandarin"
"723","2021S051235300788",35300788,"Dissemination area",0,880,"Tie (Hover to See Languages)",10,0.5,"Telugu//Russian//Serbo-Croatian//Serbian"
"724","2021S051235300792",35300792,"Dissemination area",0,897,"Tie (Hover to See Languages)",5,0.4,"Polish//German//Romanian"
"725","2021S051235300795",35300795,"Dissemination area",0,897,"Tie (Hover to See Languages)",10,1.9,"Polish//Romanian"
"726","2021S051235300797",35300797,"Dissemination area",0,900,"Tie (Hover to See Languages)",5,1.2,"Serbo-Croatian//Serbian"
"727","2021S051235300804",35300804,"Dissemination area",0,949,"Tie (Hover to See Languages)",10,0.5,"Punjabi (Panjabi)//Spanish"
"728","2021S051235300810",35300810,"Dissemination area",0,968,"Tie (Hover to See Languages)",5,0.9,"Italian//Portuguese"
"729","2021S051235300814",35300814,"Dissemination area",0,897,"Tie (Hover to See Languages)",5,1,"Polish//Portuguese"
"730","2021S051235300816",35300816,"Dissemination area",0,897,"Tie (Hover to See Languages)",5,0.7,"Polish//Russian//Serbo-Croatian//Serbian//Romanian//Mandarin"
"731","2021S051235300836",35300836,"Dissemination area",0,831,"Tie (Hover to See Languages)",5,1.2,"Somali//Arabic//Spanish//Persian (Farsi), n.o.s."
"732","2021S051235300841",35300841,"Dissemination area",0,835,"Tie (Hover to See Languages)",10,2,"Arabic//Pashto"
"733","2021S051235300842",35300842,"Dissemination area",0,897,"Tie (Hover to See Languages)",5,1.3,"Polish//Pashto"
"734","2021S051235300843",35300843,"Dissemination area",0,900,"Tie (Hover to See Languages)",5,1.3,"Serbo-Croatian//Croatian//German//Spanish"
"735","2021S051235300850",35300850,"Dissemination area",0,917,"Tie (Hover to See Languages)",15,2.3,"German//Pennsylvania German"
"736","2021S051235300854",35300854,"Dissemination area",0,847,"Tie (Hover to See Languages)",10,1.4,"Vietnamese//Polish"
"737","2021S051235300859",35300859,"Dissemination area",0,940,"Tie (Hover to See Languages)",5,0.7,"Hindi//Punjabi (Panjabi)"
"738","2021S051235300861",35300861,"Dissemination area",0,940,"Tie (Hover to See Languages)",10,2.6,"Hindi//Punjabi (Panjabi)"
"739","2021S051235300863",35300863,"Dissemination area",0,847,"Tie (Hover to See Languages)",20,4.3,"Vietnamese//Punjabi (Panjabi)//Urdu"
"740","2021S051235300876",35300876,"Dissemination area",0,975,"Tie (Hover to See Languages)",10,1.8,"Korean//Mandarin"
"741","2021S051235300878",35300878,"Dissemination area",0,835,"Tie (Hover to See Languages)",15,2.8,"Arabic//Vietnamese//Hindi//Punjabi (Panjabi)"
"742","2021S051235300921",35300921,"Dissemination area",0,900,"Tie (Hover to See Languages)",80,3.9,"Serbo-Croatian//Serbian//Punjabi (Panjabi)"
"743","2021S051235300928",35300928,"Dissemination area",0,975,"Tie (Hover to See Languages)",5,1.5,"Korean//Mandarin"
"744","2021S051235300934",35300934,"Dissemination area",0,917,"Tie (Hover to See Languages)",5,0.3,"German//Mandarin"
"745","2021S051235300938",35300938,"Dissemination area",0,926,"Tie (Hover to See Languages)",5,0.5,"Plautdietsch//Hindi"
"746","2021S051235300939",35300939,"Dissemination area",0,879,"Tie (Hover to See Languages)",5,1,"Tamil//German"
"747","2021S051235300943",35300943,"Dissemination area",0,918,"Tie (Hover to See Languages)",5,0.8,"Pennsylvania German//Romanian//Mandarin"
"748","2021S051235300946",35300946,"Dissemination area",0,900,"Tie (Hover to See Languages)",5,1.6,"Serbo-Croatian//Punjabi (Panjabi)//Portuguese"
"749","2021S051235300949",35300949,"Dissemination area",0,897,"Tie (Hover to See Languages)",5,0.9,"Polish//Portuguese"
"750","2021S051235300950",35300950,"Dissemination area",0,900,"Tie (Hover to See Languages)",15,3.1,"Serbo-Croatian//Serbian"
"751","2021S051235300954",35300954,"Dissemination area",0,900,"Tie (Hover to See Languages)",5,0.8,"Serbo-Croatian//Serbian"
"752","2021S051235300972",35300972,"Dissemination area",0,835,"Tie (Hover to See Languages)",10,2.7,"Arabic//Mandarin"
"753","2021S051235300977",35300977,"Dissemination area",0,900,"Tie (Hover to See Languages)",10,2.2,"Serbo-Croatian//Serbian"
"754","2021S051235300985",35300985,"Dissemination area",0,835,"Tie (Hover to See Languages)",5,1.1,"Arabic//Vietnamese//Serbo-Croatian"
